tconst	averageRating	numVotes
tt0000001	5.7	1901
tt0000002	5.9	254
tt0000003	6.5	1694
tt0000004	5.7	166
tt0000005	6.2	2510
tt0000006	5.2	172
tt0000007	5.4	784
tt0000008	5.4	2038
tt0000009	5.3	197
tt0000010	6.9	6870
tt0000011	5.3	352
tt0000012	7.4	11778
tt0000013	5.7	1818
tt0000014	7.1	5281
tt0000015	6.2	1016
tt0000016	5.9	1424
tt0000017	4.6	310
tt0000018	5.3	569
tt0000019	5.2	31
tt0000020	4.8	339
tt0000022	5.1	1054
tt0000023	5.7	1377
tt0000024	4.2	95
tt0000025	4.3	43
tt0000026	5.7	1484
tt0000027	5.6	1109
tt0000028	5.1	1026
tt0000029	5.9	3240
tt0000030	5.2	812
tt0000031	5.5	968
tt0000032	5.0	403
tt0000033	5.5	986
tt0000034	5.0	190
tt0000035	5.4	78
tt0000036	4.4	586
tt0000037	4.4	66
tt0000038	4.2	195
tt0000039	3.5	29
tt0000040	4.4	64
tt0000041	6.8	1751
tt0000042	4.1	37
tt0000043	4.1	32
tt0000044	3.9	45
tt0000045	4.4	33
tt0000046	4.0	34
tt0000047	3.5	34
tt0000048	4.8	188
tt0000049	5.0	49
tt0000050	4.1	34
tt0000051	3.6	35
tt0000052	4.3	96
tt0000053	2.7	18
tt0000054	4.8	34
tt0000055	3.6	30
tt0000056	3.1	22
tt0000057	4.8	34
tt0000058	4.7	33
tt0000059	3.5	27
tt0000060	7.5	86
tt0000061	4.5	24
tt0000062	6.4	192
tt0000063	3.4	28
tt0000064	3.2	29
tt0000065	3.4	29
tt0000066	3.3	29
tt0000067	5.7	62
tt0000068	3.7	31
tt0000069	4.9	436
tt0000070	6.4	2563
tt0000071	3.9	29
tt0000072	3.6	27
tt0000073	3.4	30
tt0000074	4.5	31
tt0000075	6.3	1844
tt0000076	4.5	516
tt0000077	4.4	35
tt0000078	3.8	76
tt0000079	4.7	35
tt0000080	3.9	31
tt0000081	4.0	32
tt0000082	4.7	49
tt0000083	4.5	32
tt0000084	4.3	30
tt0000085	4.5	33
tt0000086	4.1	33
tt0000087	4.5	37
tt0000088	4.1	32
tt0000089	6.2	968
tt0000090	3.9	31
tt0000091	6.7	3426
tt0000092	4.4	29
tt0000093	4.8	93
tt0000094	4.8	31
tt0000095	4.6	34
tt0000096	4.2	29
tt0000097	4.8	33
tt0000098	4.9	36
tt0000099	4.4	32
tt0000100	4.7	53
tt0000101	4.4	28
tt0000102	4.5	26
tt0000103	5.1	27
tt0000104	5.6	455
tt0000105	4.7	29
tt0000106	4.2	23
tt0000107	4.9	28
tt0000108	4.4	525
tt0000109	4.5	512
tt0000110	4.4	513
tt0000111	4.4	528
tt0000112	4.5	508
tt0000113	4.3	534
tt0000114	4.8	30
tt0000115	4.6	34
tt0000116	4.9	27
tt0000117	5.2	160
tt0000118	4.9	28
tt0000119	5.5	53
tt0000120	5.3	50
tt0000121	4.2	80
tt0000122	4.8	31
tt0000123	5.7	127
tt0000124	4.9	30
tt0000125	5.3	15
tt0000126	5.2	30
tt0000127	4.3	26
tt0000128	5.4	38
tt0000129	6.4	51
tt0000130	5.5	28
tt0000131	5.8	1330
tt0000132	5.1	1023
tt0000133	5.9	35
